,y
0,130.81
1,88.53
2,76.26
3,80.62
4,92.93
5,128.76
6,108.67
7,102.09
8,98.12
9,82.62
10,94.12
11,99.15
12,93.64
13,106.1
14,114.13
15,89.81
16,90.56
17,94.57
18,108.14
19,120.77
20,84.84
21,93.59
22,104.07
23,90.08
24,128.19
25,76.01
26,106.87
27,114.78
28,117.31
29,110.76
30,101.44
31,91.98
32,98.08
33,139.2
34,85.44
35,110.52
36,91.44
37,91.52
38,91.59
39,108.0
40,93.81
41,91.57
42,97.24
43,90.11
44,94.83
45,108.42
46,95.57
47,88.82
48,104.78
49,87.75
50,93.27
51,111.74
52,84.15
53,93.67
54,107.72
55,90.87
56,118.24
57,89.91
58,113.4
59,118.53
60,79.03
61,92.47
62,100.98
63,114.76
64,111.15
65,108.57
66,93.03
67,93.12
68,94.27
69,110.37
70,98.84
71,101.98
72,96.96
73,110.98
74,73.7
75,111.42
76,98.91
77,106.46
78,115.43
79,91.94
80,108.37
81,127.66
82,93.62
83,106.67
84,96.06
85,92.5
86,92.35
87,102.97
88,109.43
89,106.31
90,87.15
91,107.83
92,112.75
93,89.49
94,126.17
95,100.38
96,95.42
97,88.78
98,105.15
99,118.74
100,116.61
101,90.99
102,113.28
103,101.43
104,113.69
105,87.09
106,116.73
107,102.52
108,91.24
109,96.88
110,110.96
111,88.92
112,102.46
113,89.23
114,110.02
115,96.78
116,101.66
117,87.26
118,111.55
119,88.1
120,101.07
121,96.41
122,92.74
123,112.44
124,105.74
125,89.1
126,108.97
127,87.65
128,116.08
129,108.84
130,94.75
131,94.92
132,108.87
133,90.68
134,109.69
135,90.27
136,105.77
137,94.17
138,97.33
139,90.33
140,106.14
141,90.17
142,110.91
143,108.25
144,98.16
145,113.17
146,100.85
147,89.48
148,116.65
149,99.06
150,94.02
151,110.55
152,94.8
153,105.47
154,91.5
155,87.44
156,79.09
157,89.67
158,121.15
159,97.81
160,87.79
161,119.76
162,90.01
163,98.96
164,90.54
165,108.28
166,88.1
167,116.2
168,90.88
169,87.65
170,94.61
171,117.03
172,136.41
173,91.02
174,102.89
175,110.53
176,102.6
177,77.36
178,113.11
179,88.39
180,108.85
181,90.79
182,98.28
183,109.11
184,146.83
185,102.58
186,115.67
187,115.25
188,106.87
189,128.78
190,89.86
191,132.1
192,90.73
193,134.43
194,104.16
195,97.42
196,99.05
197,91.16
198,103.98
199,99.35
200,108.46
201,118.45
202,101.26
203,116.5
204,88.21
205,114.46
206,96.97
207,97.91
208,108.43
209,90.38
210,90.19
211,122.69
212,90.47
213,110.56
214,91.01
215,150.43
216,90.82
217,100.98
218,89.85
219,107.9
220,109.1
221,112.38
222,88.42
223,106.4
224,89.81
225,91.22
226,76.64
227,111.75
228,95.04
229,111.31
230,92.23
231,111.77
232,121.19
233,89.4
234,90.93
235,112.54
236,99.05
237,108.75
238,104.56
239,92.94
240,89.94
241,102.06
242,108.31
243,110.21
244,88.45
245,87.05
246,89.59
247,109.94
248,95.99
249,105.23
250,104.32
251,91.26
252,76.59
253,87.25
254,90.52
255,92.62
256,114.34
257,108.43
258,117.52
259,94.95
260,90.67
261,90.39
262,89.03
263,107.67
264,91.82
265,99.48
266,94.85
267,99.82
268,89.41
269,89.17
270,107.45
271,85.76
272,113.98
273,87.81
274,113.36
275,74.0
276,92.92
277,91.96
278,102.7
279,90.27
280,100.56
281,89.05
282,86.98
283,93.08
284,112.49
285,94.12
286,88.69
287,104.38
288,115.07
289,92.03
290,106.97
291,116.04
292,91.63
293,169.91
294,103.67
295,98.52
296,109.48
297,96.03
298,107.16
299,87.27
300,105.35
301,97.75
302,104.74
303,91.62
304,115.5
305,102.66
306,92.48
307,99.05
308,102.0
309,112.35
310,92.58
311,116.59
312,100.64
313,84.65
314,112.67
315,73.34
316,94.11
317,108.43
318,112.19
319,108.27
320,87.9
321,109.16
322,110.35
323,91.53
324,106.63
325,88.79
326,98.24
327,109.99
328,107.74
329,109.73
330,91.04
331,95.1
332,105.21
333,87.51
334,99.7
335,91.44
336,122.47
337,97.76
338,88.07
339,105.85
340,117.49
341,97.69
342,92.91
343,91.21
344,107.76
345,93.98
346,97.36
347,102.49
348,112.46
349,114.61
350,108.93
351,88.58
352,111.92
353,100.39
354,90.87
355,116.16
356,98.01
357,90.84
358,93.67
359,136.47
360,77.31
361,103.46
362,88.99
363,128.05
364,90.16
365,92.2
366,154.87
367,94.14
368,89.99
369,88.72
370,99.98
371,103.98
372,108.19
373,110.1
374,93.14
375,100.21
376,88.91
377,85.97
378,122.45
379,112.2
380,106.16
381,89.66
382,89.52
383,111.74
384,91.45
385,77.69
386,117.81
387,87.97
388,93.59
389,104.07
390,98.57
391,101.19
392,108.24
393,90.06
394,92.79
395,100.95
396,90.76
397,78.25
398,110.63
399,87.28
400,89.1
401,95.6
402,108.85
403,88.47
404,110.33
405,87.65
406,89.75
407,108.53
408,96.48
409,94.88
410,111.47
411,116.6
412,107.86
413,118.83
414,87.28
415,129.0
416,92.38
417,118.18
418,99.94
419,101.02
420,91.99
421,112.42
422,93.41
